Manufacturer,Price,Body Style,Fuel Efficiency,Engine Volume,Powertrain,License Status,Manufacture Year,Variant,Location,Distance Covered,Gearbox,Owner_Type
Renault,38600.0,van,22,1.9,Diesel,yes,2001,Kangoo,oujda,77815,Automatic,First
Volkswagen,448000.0,crossover,180,3.0,Diesel,yes,2013,Touareg,tetouan,20800,Manual,Second
Toyota,285200.0,crossover,156,4.0,Gas,yes,2007,Land Cruiser Prado,oujda,61000,Automatic,Second
Mercedes-Benz,,sedan,145,3.2,Diesel,yes,2007,E-Class,hosseima,13648,Automatic,First
Audi,162900.0,crossover,183,3.6,Petrol,no,2007,Q7,hosseima,44887,Manual,First
BMW,118900.0,sedan,245,3.0,Diesel,yes,2003,530,hosseima,74310,Manual,First
Volkswagen,296000.0,sedan,57,2.0,Diesel,yes,2013,Passat B7,tanger,30232,Manual,First
Audi,89200.0,other,326,2.5,Diesel,yes,2002,A6,hosseima,15466,Manual,First
Mercedes-Benz,204700.0,sedan,105,5.5,Petrol,yes,2006,S 500,tetouan,18000,Manual,First
Toyota,337800.0,crossover,56,2.7,Gas,yes,2011,Land Cruiser Prado,hosseima,16159,Manual,First
Renault,59150.0,van,140,1.4,Petrol,yes,2009,Kangoo,agadir,12000,Automatic,Second
Mercedes-Benz,87000.0,van,250,2.2,Diesel,yes,2006,Vito,dakhla,88000,Manual,First
Toyota,196989.0,crossover,35,2.0,Petrol,yes,2009,Rav 4,oujda,88046,Automatic,First
Volkswagen,145300.0,hatch,73,1.4,Petrol,yes,2011,Golf VI,hosseima,51495,Automatic,First
Toyota,,crossover,1,2.2,Diesel,yes,2016,Rav 4,dakhla,33000,Manual,First
BMW,289800.0,sedan,47,2.0,Petrol,yes,2013,320,Casablanca,54540,Manual,Third
Audi,999989.0,sedan,4,3.0,Diesel,yes,2015,A8,dakhla,81310,Manual,First
Volkswagen,70500.0,sedan,74,2.0,Petrol,no,2011,Jetta,tanger,72469,Automatic,First
Mercedes-Benz,110650.0,other,190,2.2,Diesel,yes,2008,Vito,Casablanca,53001,Manual,First
BMW,29989.0,sedan,210,2.0,Other,no,1999,320,Casablanca,67000,Manual,Second
Audi,318000.0,vagon,213,3.0,Diesel,yes,2010,A6 Allroad,Casablanca,35000,Manual,First
BMW,246500.0,other,100,3.0,Petrol,yes,2007,630,rabat,100000,Manual,First
Toyota,153750.0,van,127,3.5,Other,yes,2007,Sienna,oujda,105000,Automatic,Second
Renault,77100.0,van,135,1.5,Diesel,yes,2013,Kangoo,rabat,92000,Manual,First
Mercedes-Benz,,sedan,24,3.0,Diesel,yes,2015,S 350,mekness,76128,Manual,First
Volkswagen,68300.0,crossover,213,2.5,Diesel,no,2004,Touareg,hosseima,40810,Manual,First
Toyota,114500.0,sedan,180,3.5,Petrol,yes,2007,Camry,oujda,14900,Automatic,First
Audi,,hatch,243,2.0,Gas,yes,1987,100,hosseima,99583,Automatic,Third
BMW,80400.0,sedan,290,3.0,Petrol,yes,2000,330,Casablanca,35000,Manual,First
Audi,124400.0,crossover,250,2.5,Diesel,yes,2005,A6 Allroad,mekness,77000,Automatic,First
Volkswagen,224500.0,hatch,800,2.0,Diesel,yes,2013,Golf VII,dakhla,15000,Manual,First
BMW,129000.0,sedan,237,3.0,Diesel,yes,2003,530,marrakech,57000,Manual,Second
Mercedes-Benz,100200.0,other,280,2.4,Petrol,yes,2003,E-Class,hosseima,49389,Manual,First
Mitsubishi,87200.0,crossover,210,2.4,Gas,yes,2007,Outlander,Casablanca,35000,Automatic,Second
Mercedes-Benz,2198989.0,crossover,0,5.5,Petrol,yes,2016,GLS 63,rabat,60000,Manual,First
Volkswagen,338900.0,sedan,30,2.0,Diesel,yes,2014,Passat B7,rabat,30500,Automatic,First
Mercedes-Benz,426900.0,crossover,65,4.5,Petrol,yes,2010,GL 450,rabat,51000,Manual,First
Mercedes-Benz,35300.0,sedan,200,2.7,Diesel,no,2000,E-Class,dakhla,70000,Manual,First
Mercedes-Benz,56200.0,sedan,432,3.0,Diesel,yes,1992,E-Class,oujda,59000,Manual,First
Mercedes-Benz,1335500.0,sedan,22,3.0,Diesel,yes,2014,S 350,hosseima,43152,Manual,First
Mercedes-Benz,,sedan,16,3.0,Diesel,yes,2014,S 350,rabat,68218,Manual,First
Volkswagen,18800.0,sedan,250,,Petrol,yes,1991,Jetta,oujda,85000,Manual,First
Toyota,240989.0,other,65,2.5,Petrol,yes,2012,Camry,tetouan,480000,Manual,First
Toyota,,hatch,76,1.0,Petrol,yes,2007,Aygo,marrakech,79000,Manual,Second
Renault,90300.0,van,141,2.0,Diesel,yes,2011,Trafic,oujda,81448,Manual,First
Volkswagen,114423.0,other,1,1.4,Petrol,yes,2014,Polo,hosseima,5377,Manual,First
Volkswagen,23200.0,hatch,118,1.4,Petrol,no,2001,Lupo,mekness,29000,Automatic,First
Volkswagen,107900.0,other,171,1.6,Diesel,yes,2011,Caddy,tetouan,44000,Manual,First
Renault,108100.0,van,164,2.0,Diesel,yes,2012,Trafic,sefrou,216000,Manual,Second
Mercedes-Benz,273890.0,sedan,85,5.5,Petrol,yes,2008,S 500,rabat,64290,Manual,First
Toyota,312500.0,sedan,16,2.5,Petrol,yes,2015,Camry,rabat,80102,Manual,First
Mercedes-Benz,78200.0,van,200,2.2,Diesel,yes,2004,Vito,tetouan,48466,Manual,First
Toyota,199200.0,crossover,146,2.7,Gas,yes,2006,Land Cruiser Prado,oujda,55746,Manual,First
BMW,46300.0,other,280,2.5,Petrol,yes,1985,325,agadir,45000,Automatic,First
Volkswagen,151831.25,sedan,0,1.6,Petrol,yes,2016,Polo,hosseima,37542,Automatic,First
Renault,80400.0,van,120,1.5,Diesel,yes,2012,Kangoo,tanger,74611,Manual,First
Renault,62800.0,van,143,1.5,Diesel,yes,2007,Kangoo,oujda,50000,Automatic,First
Mitsubishi,147489.0,crossover,116,2.4,Petrol,yes,2008,Outlander XL,oujda,71791,Manual,First
BMW,227989.0,crossover,170,4.8,Petrol,yes,2008,X5,rabat,116000,Manual,Second
Volkswagen,104600.0,van,255,1.9,Diesel,yes,2004,T5 (Transporter),sefrou,47000,Manual,First
Toyota,198100.0,hatch,30,1.6,Petrol,yes,2013,Auris,oujda,20600,Manual,First
Mitsubishi,250900.0,crossover,69,2.4,Petrol,yes,2014,Outlander XL,tanger,72996,Manual,First
Volkswagen,130890.0,van,231,2.5,Diesel,yes,2002,T4 (Transporter),dakhla,32000,Manual,First
Mercedes-Benz,88300.0,sedan,175,2.0,Petrol,yes,2001,E-Class,Casablanca,62004,Automatic,Second
Mercedes-Benz,83700.0,sedan,390,3.0,Diesel,no,2007,E-Class,Casablanca,17978,Automatic,First
Mitsubishi,212400.0,crossover,78,2.4,Petrol,yes,2012,Outlander XL,rabat,32000,Manual,First
BMW,140900.0,sedan,200,2.5,Petrol,yes,2006,523,tetouan,72000,Automatic,First
BMW,26500.0,vagon,250,2.5,Diesel,no,2000,525,oujda,10000,Automatic,First
Volkswagen,72150.0,van,223,1.9,Diesel,yes,2007,Caddy,tetouan,43284,Manual,First
Renault,151900.0,crossover,111,2.5,Gas,yes,2010,Koleos,hosseima,93401,Manual,First
Mitsubishi,224500.0,crossover,109,3.2,Diesel,yes,2009,Pajero Wagon,marrakech,67000,Manual,First
Toyota,151900.0,sedan,102,3.5,Gas,yes,2008,Camry,oujda,63220,Manual,First
Toyota,236600.0,sedan,66,2.5,Petrol,yes,2011,Camry,Casablanca,26000,Manual,First
Toyota,101500.0,other,90,1.6,Other,yes,2008,Corolla,marrakech,84000,Automatic,Second
Mitsubishi,78200.0,sedan,102,1.6,Petrol,yes,2007,Lancer,tetouan,25000,Manual,First
Toyota,240989.0,sedan,80,2.5,Other,yes,2012,Camry,Casablanca,47691,Automatic,First
Toyota,325900.0,crossover,144,4.0,Gas,yes,2008,Land Cruiser 200,sefrou,56000,Manual,Second
Toyota,314900.0,crossover,83,3.5,Gas,yes,2012,Highlander,rabat,105000,Manual,Second
Mercedes-Benz,212600.0,van,127,1.8,Diesel,yes,2013,B 180,oujda,68000,Manual,Second
Volkswagen,23200.0,vagon,150,1.6,Petrol,yes,1986,Passat B2,tetouan,57000,Manual,First
Volkswagen,131000.0,sedan,186,3.2,Petrol,yes,2006,Passat B6,hosseima,11966,Manual,First
Volkswagen,106450.0,hatch,95,1.4,Petrol,yes,2010,Polo,Casablanca,21000,Automatic,Second
Mitsubishi,,van,138,2.4,Petrol,yes,2007,Grandis,marrakech,60510,Automatic,Second
Audi,56200.0,sedan,250,1.8,Other,yes,1996,A4,mekness,10000,Manual,First
Toyota,96900.0,crossover,153,2.0,Petrol,yes,2003,Rav 4,Casablanca,12000,Automatic,First
Toyota,240989.0,crossover,69,3.5,Petrol,yes,2008,Highlander,dakhla,25000,Manual,First
BMW,39700.0,other,110,2.5,Petrol,yes,1983,323,tetouan,60170,Manual,First
Volkswagen,140900.0,sedan,157,1.8,Gas,yes,2008,Passat B6,dakhla,200000,Manual,First
Volkswagen,135400.0,other,248,2.5,Diesel,yes,2007,T5 (Transporter),rabat,65000,Manual,First
Toyota,290500.0,crossover,21,2.0,Petrol,yes,2013,Rav 4,hosseima,77469,Manual,First
BMW,37500.0,sedan,300,3.0,Diesel,no,1999,530,hosseima,35939,Manual,First
Audi,235500.0,vagon,165,2.0,Diesel,yes,2010,A6,marrakech,84056,Manual,First
Mercedes-Benz,101300.0,van,159,2.2,Diesel,yes,2010,Vito,rabat,8200,Manual,First
Toyota,102400.0,sedan,148,1.8,Gas,yes,2008,Avensis,dakhla,83000,Manual,First
Mercedes-Benz,158390.0,vagon,212,2.2,Diesel,yes,2008,E-Class,agadir,65000,Manual,First
Volkswagen,426440.0,sedan,0,2.0,Diesel,yes,2014,Passat CC,dakhla,82000,Manual,Second
Mercedes-Benz,122200.0,sedan,280,2.2,Diesel,yes,2005,E-Class,mekness,65000,Automatic,First
Audi,128800.0,sedan,240,4.2,Gas,yes,2001,S8,oujda,51787,Manual,First
BMW,955989.0,crossover,0,3.0,Diesel,yes,2016,X6,tanger,43477,Automatic,First
Toyota,879000.0,crossover,23,4.5,Diesel,yes,2014,Land Cruiser 200,sefrou,29500,Manual,First
Mercedes-Benz,200500.0,crossover,1,3.5,Gas,yes,2006,ML 350,oujda,70000,Manual,Second
Volkswagen,740848.05,crossover,0,3.0,Diesel,yes,2016,Touareg,marrakech,38000,Automatic,Second
Volkswagen,134500.0,sedan,118,1.6,Diesel,yes,2011,Golf VI,rabat,15200,Automatic,Second
Audi,24500.0,vagon,300,2.5,Diesel,no,2002,A6,sefrou,62000,Automatic,Second
Toyota,190334.99,hatch,0,1.33,Petrol,yes,2016,Yaris,marrakech,60000,Manual,First
Mercedes-Benz,126600.0,sedan,186,3.2,Petrol,yes,2003,E-Class,marrakech,62000,Manual,First
Toyota,714000.0,other,60,4.5,Diesel,yes,2013,Land Cruiser 200,rabat,70000,Manual,First
Mitsubishi,68300.0,sedan,116,1.5,Petrol,yes,2008,Lancer X,marrakech,73000,Manual,First
Volkswagen,241000.0,crossover,123,3.0,Diesel,yes,2009,Touareg,oujda,29000,Manual,First
Renault,45200.0,vagon,180,1.4,Petrol,yes,2000,Kangoo,rabat,75216,Manual,First
Mercedes-Benz,261900.0,sedan,124,1.8,Petrol,yes,2012,E-Class,tanger,44340,Automatic,First
Volkswagen,106250.0,van,159,1.9,Diesel,yes,2009,Caddy,tanger,81001,Automatic,First
Renault,73989.0,sedan,65,1.4,Petrol,yes,2012,Symbol,Casablanca,85000,Automatic,Second
Volkswagen,117547.0,van,157,1.6,Diesel,yes,2012,Caddy,oujda,60788,Manual,First
Volkswagen,38600.0,sedan,320,1.8,Gas,yes,1989,Passat B3,hosseima,42527,Manual,First
Audi,238800.0,vagon,172,2.0,Diesel,yes,2011,A4,tetouan,55000,Manual,First
Mercedes-Benz,68500.0,sedan,215,55.0,Petrol,no,2001,S 55,hosseima,44875,Automatic,Second
Toyota,160700.0,sedan,139,3.5,Petrol,yes,2008,Camry,marrakech,45000,Manual,First
BMW,103500.0,sedan,400,3.5,Gas,yes,1999,735,rabat,73204,Automatic,First
BMW,378500.0,sedan,45,2.0,Petrol,yes,2013,320,Casablanca,51579,Manual,First
Toyota,224500.0,crossover,139,4.0,Gas,yes,2005,Land Cruiser Prado,marrakech,39037,Automatic,First
Volkswagen,70500.0,other,547,1.9,Diesel,yes,1998,T4 (Transporter),rabat,17000,Automatic,First
Mercedes-Benz,20890.0,hatch,230,1.7,Other,no,2001,A 170,mekness,63000,Manual,First
BMW,127700.0,sedan,270,3.0,Diesel,yes,2003,530,oujda,48000,Manual,First
Renault,59500.0,sedan,153,1.6,Other,yes,2006,Megane,Casablanca,30900,Automatic,First
Renault,78200.0,van,285,1.9,Diesel,yes,2002,Trafic,hosseima,36216,Manual,First
Volkswagen,228900.0,sedan,122,2.0,Petrol,yes,2012,Passat B7,hosseima,81504,Manual,First
Volkswagen,96900.0,van,264,2.5,Diesel,yes,2003,T4 (Transporter),agadir,75000,Manual,First
BMW,149700.0,crossover,270,4.6,Gas,yes,2004,X5,mekness,104000,Manual,First
Renault,117450.0,vagon,180,1.5,Diesel,yes,2011,Megane,sefrou,42000,Manual,Second
Toyota,139800.0,sedan,145,2.4,Petrol,yes,2008,Camry,rabat,70000,Manual,First
BMW,415900.0,crossover,97,3.0,Diesel,yes,2010,X6,hosseima,58197,Automatic,First
Mercedes-Benz,194800.0,sedan,73,3.0,Petrol,yes,2008,C-Class,tanger,32642,Automatic,First
Audi,257500.0,crossover,116,4.2,Petrol,yes,2008,Q7,sefrou,11000,Automatic,First
Toyota,96900.0,sedan,87,1.6,Petrol,yes,2008,Corolla,tanger,21363,Automatic,First
Volkswagen,,other,440,1.4,Petrol,yes,2008,Eos,rabat,61000,Manual,First
Toyota,521500.0,crossover,45,3.0,Diesel,yes,2014,Land Cruiser Prado,tanger,22684,Manual,First
Volkswagen,13264.25,sedan,1,1.6,Petrol,yes,1980,Jetta,sefrou,63000,Automatic,First
Mercedes-Benz,271800.0,other,160,3.0,Diesel,yes,2007,S 320,mekness,16607,Manual,First
Renault,29250.0,hatch,186,22.0,Diesel,no,2005,Laguna,Casablanca,10600,Manual,First
Volkswagen,115789.0,van,128,1.9,Diesel,yes,2010,Caddy,Casablanca,47000,Manual,Second
Audi,180500.0,vagon,171,2.0,Diesel,yes,2008,A6,sefrou,67489,Manual,First
BMW,107000.0,sedan,274,4.4,Gas,yes,1998,540,marrakech,62000,Manual,Second
Volkswagen,38600.0,vagon,470,1.8,Petrol,yes,1994,Passat B4,rabat,74500,Manual,First
Audi,118900.0,sedan,225,2.4,Petrol,yes,2005,A6,marrakech,49800,Automatic,First
Renault,33100.0,van,164,1.4,Petrol,yes,1999,Kangoo,sefrou,65000,Automatic,First
Volkswagen,36389.0,sedan,201,1.8,Petrol,yes,1991,Passat B3,Casablanca,10200,Manual,First
Audi,350989.0,sedan,107,3.0,Diesel,yes,2009,A8,rabat,82500,Manual,First
Mercedes-Benz,1176000.0,van,0,2.2,Diesel,yes,2016,V 250,marrakech,87000,Manual,First
Volkswagen,183989.0,sedan,105,1.8,Petrol,yes,2011,Passat B7,tanger,60587,Automatic,Second
BMW,367500.0,sedan,1,1.5,Petrol,yes,2015,318,tetouan,40000,Manual,First
Audi,131000.0,sedan,200,6.0,Petrol,yes,2004,A8,tanger,22397,Automatic,First
Mercedes-Benz,312500.0,sedan,90,5.5,Petrol,yes,2007,S 500,tetouan,60000,Manual,First
Mercedes-Benz,349900.0,sedan,97,2.2,Diesel,yes,2011,E-Class,Casablanca,51000,Automatic,First
Volkswagen,125500.0,van,210,2.0,Diesel,yes,2012,Caddy,tanger,42259,Automatic,First
Volkswagen,109000.0,sedan,90,9.0,Petrol,no,2010,Passat B6,marrakech,38000,Automatic,First
BMW,533050.0,other,147,4.0,Diesel,yes,2012,X5,mekness,68000,Manual,First
Audi,752500.0,sedan,44,6.3,Petrol,yes,2012,A8,oujda,14000,Automatic,First
BMW,189300.0,sedan,180,3.0,Diesel,yes,2007,730,tetouan,40000,Manual,First
Volkswagen,84800.0,van,380,2.5,Diesel,yes,1999,T4 (Transporter),rabat,95000,Manual,First
Toyota,130450.0,hatch,120,1.4,Petrol,yes,2013,Auris,rabat,120000,Automatic,First
Mitsubishi,248828.15,crossover,1,2.0,Petrol,yes,2016,Outlander,mekness,71000,Automatic,First
Renault,119989.0,van,207,2.0,Diesel,yes,2012,Trafic,hosseima,66337,Manual,First
Audi,177000.0,crossover,127,3.0,Diesel,no,2013,Q7,dakhla,125000,Manual,Fourth & Above
Toyota,143300.0,sedan,152,2.0,Petrol,yes,2009,Avensis,rabat,146000,Manual,Second
Mitsubishi,59500.0,sedan,165,1.6,Petrol,yes,2006,Lancer,mekness,42000,Manual,First
Volkswagen,142000.0,van,178,2.5,Diesel,yes,2007,T6 (Transporter),rabat,52782,Manual,First
Renault,88100.0,van,219,2.5,Diesel,yes,2010,Master,Casablanca,15000,Automatic,First
Volkswagen,387500.0,crossover,112,,Diesel,yes,2011,Touareg,sefrou,86000,Manual,Second
Audi,384000.0,sedan,92,2.8,Petrol,yes,2013,A6,sefrou,80000,Manual,First
Volkswagen,202500.0,sedan,217,3.0,Diesel,yes,2006,Phaeton,rabat,39000,Manual,First
Volkswagen,131000.0,sedan,73,1.6,Gas,yes,2011,Polo,tetouan,40000,Automatic,First
Volkswagen,108989.0,van,310,2.5,Diesel,yes,2007,T5 (Transporter),hosseima,50004,Manual,First
Volkswagen,610105.0,van,50,2.0,Diesel,yes,2013,Multivan,agadir,49000,Manual,First
Mitsubishi,302217.2,crossover,1,2.5,Diesel,yes,2016,Pajero Sport,rabat,62500,Manual,First
Volkswagen,136500.0,crossover,230,3.2,Gas,yes,2003,Touareg,tetouan,12501,Manual,First
BMW,35489.0,sedan,101,2.5,Petrol,yes,1990,525,sefrou,72563,Manual,Second
Mercedes-Benz,312500.0,hatch,15,1.8,Diesel,yes,2014,A 180,tanger,19623,Manual,First
Audi,30350.0,vagon,280,2.5,Diesel,no,1999,A6,agadir,59000,Manual,First
Mitsubishi,100200.0,crossover,110,2.4,Petrol,yes,2006,Outlander,rabat,58000,Manual,First
BMW,279500.0,other,163,4.8,Petrol,yes,2008,X5,tanger,31821,Automatic,First
Mercedes-Benz,74900.0,other,311,2.2,Diesel,yes,1999,Vito,Casablanca,40000,Manual,First
Toyota,593000.0,crossover,147,4.5,Diesel,yes,2011,Land Cruiser 200,tanger,18351,Automatic,First
BMW,307000.0,sedan,170,2.0,Diesel,yes,2011,520,Casablanca,40600,Automatic,First
Renault,148600.0,vagon,164,1.5,Diesel,yes,2013,Grand Scenic,hosseima,40901,Manual,First
Volkswagen,68300.0,van,1,2.5,Diesel,yes,2000,T4 (Transporter),oujda,68128,Manual,First
Renault,112500.0,hatch,148,1.5,Diesel,yes,2012,Megane,rabat,66000,Automatic,Second
Audi,,vagon,156,3.0,Diesel,yes,2009,A6,rabat,29202,Manual,First
Volkswagen,111200.0,sedan,280,1.8,Petrol,yes,2006,Passat B5,Casablanca,84000,Automatic,First
Volkswagen,22300.0,hatch,320,1.6,Gas,yes,1989,Golf II,Casablanca,69000,Automatic,Second
Volkswagen,120000.0,vagon,171,1.9,Diesel,yes,2009,Golf Variant,oujda,79000,Automatic,First
BMW,39150.0,sedan,300,2.0,Petrol,yes,1990,520,hosseima,39929,Manual,First
Mercedes-Benz,28700.0,sedan,121,2.5,Diesel,yes,1986,E-Class,mekness,25000,Automatic,First
Audi,259900.0,sedan,180,3.0,Diesel,yes,2009,A6,mekness,38500,Manual,Second
Renault,108100.0,van,64,2.0,Diesel,yes,2014,Trafic,dakhla,200000,Manual,Second
Mercedes-Benz,,sedan,300,2.6,Petrol,yes,2002,E-Class,mekness,74000,Manual,Second
Audi,362000.0,crossover,60,2.0,Petrol,yes,2011,Q5,tetouan,55000,Manual,First
Mercedes-Benz,,sedan,0,2.2,Diesel,yes,2016,V 250,mekness,50000,Automatic,First
Volkswagen,35850.0,other,223,1.9,Diesel,yes,1997,Caddy,tetouan,58000,Manual,First
Mercedes-Benz,790989.0,crossover,0,2.2,Diesel,yes,2016,GLE-Class,rabat,54000,Manual,First
Volkswagen,116900.0,sedan,136,1.8,Petrol,yes,2008,Passat B6,Casablanca,75308,Manual,Second
Mercedes-Benz,72700.0,van,310,2.2,Diesel,yes,2001,Vito,rabat,45271,Manual,First
Toyota,710000.0,crossover,90,4.5,Diesel,yes,2012,Land Cruiser 200,mekness,65462,Automatic,Third
Renault,81500.0,van,43,1.5,Diesel,yes,2013,Kangoo,tanger,74980,Manual,First
Toyota,54550.0,hatch,138,1.0,Petrol,yes,2001,Yaris,dakhla,57000,Manual,First
Mitsubishi,250900.0,crossover,69,2.4,Petrol,yes,2014,Outlander,sefrou,35000,Manual,First
Volkswagen,65000.0,van,460,1.9,Diesel,yes,1997,T4 (Transporter),Casablanca,45000,Manual,First
Mercedes-Benz,17150.0,sedan,257,1.8,Gas,no,1995,CL 180,sefrou,53713,Manual,First
Volkswagen,272900.0,sedan,1,1.6,Diesel,yes,2016,Jetta,Casablanca,19234,Manual,First
Toyota,,vagon,160,2.4,Gas,yes,2007,Rav 4,oujda,56000,Automatic,First
Mitsubishi,92500.0,sedan,116,1.5,Petrol,yes,2008,Lancer X,mekness,58000,Manual,First
BMW,224500.0,crossover,285,4.8,Petrol,yes,2006,X5,marrakech,74112,Manual,First
Audi,61700.0,vagon,250,2.0,Diesel,no,2006,A4,oujda,33000,Manual,First
Volkswagen,106800.0,van,86,1.2,Petrol,yes,2013,Caddy,oujda,90049,Manual,First
Volkswagen,90500.0,other,200,1.6,Diesel,yes,2011,Caddy,oujda,116000,Manual,Second
Toyota,91950.0,sedan,193,1.6,Gas,yes,2007,Corolla,dakhla,58500,Manual,First
Mitsubishi,61700.0,other,170,1.3,Petrol,yes,2006,Colt,mekness,64000,Manual,First
Volkswagen,107900.0,other,181,1.6,Diesel,yes,2012,Caddy,dakhla,46522,Manual,First
Mercedes-Benz,131000.0,sedan,298,5.0,Petrol,yes,2004,S 500,hosseima,47910,Manual,First
Mercedes-Benz,132300.0,sedan,423,5.0,Gas,yes,1997,S 500,marrakech,60000,Manual,Second
Audi,707400.0,other,41,,Other,yes,2014,A8,sefrou,48000,Manual,First
Toyota,299500.0,crossover,85,4.0,Petrol,yes,2007,Land Cruiser Prado,sefrou,68000,Manual,Second
Mercedes-Benz,79300.0,van,245,2.2,Diesel,yes,2002,Vito,oujda,75000,Manual,First
Volkswagen,103500.0,sedan,95,2.0,Petrol,yes,2007,Passat B6,Casablanca,18000,Automatic,First
Renault,112289.0,other,176,2.0,Diesel,yes,2013,Trafic,mekness,60000,Manual,First
BMW,142000.0,sedan,193,3.6,Petrol,yes,2003,735,tanger,49275,Automatic,First
Audi,373000.0,crossover,119,2.0,Diesel,yes,2013,Q5,tetouan,26000,Manual,First
Mercedes-Benz,88100.0,van,330,2.2,Diesel,yes,2001,Vito,tanger,53615,Manual,First
BMW,,sedan,1,3.0,Petrol,yes,2010,535,rabat,100000,Manual,First
Audi,175000.0,sedan,180,3.0,Diesel,yes,2006,A6,mekness,23000,Automatic,First
